channel,snr_db,rcu_bound
AWGN,  -5.0,  4.215747E-20
AWGN,  -6.0,  1.544343E-19
AWGN,  -7.0,  8.717473E-19
AWGN,  -8.0,  8.888723E-18
AWGN,  -9.0,  2.050632E-16
AWGN, -10.0,  1.327526E-14
AWGN, -11.0,  4.036368E-12
AWGN, -12.0,  2.223812E-09
AWGN, -13.0,  7.709596E-06
AWGN, -14.0,  1.596231E-03
AWGN, -15.0,  5.352956E-02
AWGN, -16.0,  3.401995E-01
AWGN, -17.0,  7.438393E-01
AWGN, -18.0,  9.428210E-01
AWGN, -19.0,  9.914842E-01
AWGN, -20.0,  9.989974E-01
RAYLEIGH,  -5.0,  5.307745E-03
RAYLEIGH,  -6.0,  6.318283E-03
RAYLEIGH,  -7.0,  8.203684E-03
RAYLEIGH,  -8.0,  1.043607E-02
RAYLEIGH,  -9.0,  1.537077E-02
RAYLEIGH, -10.0,  2.336379E-02
RAYLEIGH, -11.0,  4.078042E-02
RAYLEIGH, -12.0,  7.889518E-02
RAYLEIGH, -13.0,  1.670932E-01
RAYLEIGH, -14.0,  3.399060E-01
RAYLEIGH, -15.0,  5.805686E-01
RAYLEIGH, -16.0,  8.052191E-01
RAYLEIGH, -17.0,  9.373235E-01
RAYLEIGH, -18.0,  9.851781E-01
RAYLEIGH, -19.0,  9.973173E-01
RAYLEIGH, -20.0,  9.996381E-01
