channel,snr_db,p_correct,uer_pct
AWGN,  -5.0,1.00000,0.00000
AWGN,  -6.0,1.00000,0.00000
AWGN,  -7.0,1.00000,0.00000
AWGN,  -8.0,1.00000,0.00000
AWGN,  -9.0,1.00000,0.00000
AWGN, -10.0,1.00000,0.00000
AWGN, -11.0,1.00000,0.00000
AWGN, -12.0,0.99990,0.00000
AWGN, -13.0,0.99470,0.00000
AWGN, -14.0,0.90320,0.00000
AWGN, -15.0,0.51390,0.00000
AWGN, -16.0,0.13490,0.03000
AWGN, -17.0,0.01990,0.01000
AWGN, -18.0,0.00200,0.00000
AWGN, -19.0,0.00010,0.00000
AWGN, -20.0,0.00000,0.01000
RAYLEIGH,  -5.0,1.00000,0.00000
RAYLEIGH,  -6.0,1.00000,0.00000
RAYLEIGH,  -7.0,1.00000,0.00000
RAYLEIGH,  -8.0,0.99980,0.00000
RAYLEIGH,  -9.0,0.99840,0.00000
RAYLEIGH, -10.0,0.99060,0.00000
RAYLEIGH, -11.0,0.94570,0.00000
RAYLEIGH, -12.0,0.80390,0.00000
RAYLEIGH, -13.0,0.53170,0.00000
RAYLEIGH, -14.0,0.25020,0.02000
RAYLEIGH, -15.0,0.07510,0.02000
RAYLEIGH, -16.0,0.01470,0.01000
RAYLEIGH, -17.0,0.00200,0.00000
RAYLEIGH, -18.0,0.00020,0.01000
RAYLEIGH, -19.0,0.00010,0.02000
RAYLEIGH, -20.0,0.00000,0.00000
